_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,truth_response,truth_response:confidence,hypothesis,premise,truth_response_gold
679986253,finalized,5,2/22/15 0:32,yes,1,Woman pushing a bicycle.,A woman in summer attire is walking with her bike along what may be a boardwalk.,
679986254,finalized,5,2/22/15 0:50,yes,1,Woman pushing a bicycle.,"A girl in a white shirt, walking beside her bike.",
679986255,finalized,5,2/22/15 1:47,yes,1,Woman pushing a bicycle.,A woman walking a bike down a busy sidewalk.,
679986256,finalized,5,2/22/15 1:13,no,0.6121,Woman pushing a bicycle.,A woman carrying her bike through a crowd.,
679986257,finalized,5,2/22/15 0:46,yes,0.5831,A man sitting on an animal.,A boy rides a horse down a dusty country road.,
679986258,finalized,5,2/22/15 2:15,yes,1,A man sitting on an animal.,A person is riding a horse down a dirt trail.,
679986259,finalized,5,2/22/15 0:53,yes,0.8121,A man sitting on an animal.,A jockey training his horse.,
679986260,finalized,5,2/22/15 1:31,yes,1,A man sitting on an animal.,Man swiftly riding a horse.,
679986261,finalized,5,2/22/15 1:43,yes,1,A man swings a bat.,A batter playing cricket missed the ball and the person behind him is catching it.,
679986262,finalized,5,2/22/15 2:11,yes,0.4054,A man swings a bat.,A cricket player misses the pitch.,
679986263,finalized,5,2/22/15 0:37,yes,0.5991,A man swings a bat.,The three men are playing cricket.,
679986264,finalized,5,2/22/15 0:18,yes,0.8002,A man swings a bat.,A man struck out playing cricket.,
679986265,finalized,5,2/22/15 1:56,yes,0.6372,A football player runs down a field.,"A football player wearing a number 23 white jersey tackles a football player wearing a red, number three jersey while fans cheer.",
679986266,finalized,5,2/22/15 1:06,yes,0.6151,A football player runs down a field.,A football player being tackled from behind by another player from a different team in front of a crowd.,
679986267,finalized,5,2/22/15 1:30,yes,0.612,A football player runs down a field.,A football tackle in progress with a crowd in the background.,
679986268,finalized,5,2/22/15 2:01,no,0.4058,A football player runs down a field.,A football player in red being tackled by opponents in white.,
679986269,finalized,5,2/22/15 1:26,no,0.6144,Child sits.,A man is about to saw off a small tree limb while a child in a fireman's hat watches.,
679986270,finalized,5,2/22/15 0:52,unk,0.5931,Child sits.,"A man in a white shirt is holding a saw, standing next to a tree and a child.",
679986271,finalized,5,2/22/15 0:31,no,0.8131,Child sits.,A man and a child in a hard hat are sawing at a tree.,
679986272,finalized,5,2/22/15 1:30,no,0.6053,Child sits.,Man grooms a tree while a child helps him.,
679986273,finalized,5,2/22/15 0:43,yes,0.8249,Ladies walking.,People that are walking in a urban area in a large city where there are concessions.,
679986274,finalized,5,2/22/15 1:06,no,0.4232,Ladies walking.,People walk on a sidewalk beside a building that has graffiti on the brick wall.,
679986275,finalized,5,2/22/15 1:02,no,0.81,Ladies walking.,Street vendors serve passer-by's in the city.,
679986276,finalized,5,2/22/15 2:01,unk,1,Ladies walking.,People are walking up and down the streets.,
679986277,finalized,5,2/22/15 0:39,yes,0.8035,A woman looking at something.,A woman wearing a black tank top and a cross necklace stares off into the distance near sunset.,
679986278,finalized,5,2/22/15 1:26,no,0.4065,A woman looking at something.,A woman with long blond-hair walks in front of a parked white car.,
679986279,finalized,5,2/22/15 0:54,yes,0.6128,A woman looking at something.,A blond woman shows her profile in front of a white luxury car.,
679986280,finalized,5,2/22/15 0:37,unk,0.5948,A woman looking at something.,A tattooed blond woman is holding a purse.,
679986281,finalized,5,2/22/15 1:56,no,0.4176,A child rock climbing.,The person has a striped shirt on and is holding on to a rope on a mountain.,
679986282,finalized,5,2/22/15 1:12,yes,0.8142,A child rock climbing.,The person in the striped shirt is mountain climbing.,
